Schlagwort;Idee;Problem;Lösung
Crowdsensing;Probleme in der Stadt von unterwegs melden;"Blockierter Weg, kaputter Fahrradweg oder ein kaputtes Spielgerät auf einem Spielplatz, stachelige Zweige am Fahrradweg... Wenn man unterwegs in Bamberg ist, merkt man manchmal etwas, was weggeräumt oder repariert werden sollte, und denkt ""wohin damit?"" Auch wenn man sich Mühe gibt, Ordnungsamt anzurufen, oft ist es schwierig, den genauen Ort weiterzugeben. ";"Eine App, wo man ein Problem schnell melden kann. Man macht ein Foto und schreibt ein Kommentar, Standort wird automatisch ermittelt, und die Nachricht wird an irgendeine ""Reception"" bei der Stadt gemeldet, die die Nachricht an zuständige Amt weiterleitet. "
Barrierefreiheit;Leichte Sprache und englische Version für das Programm Smart City;"Smart City verfügt über keine englische oder generell eine fremdsprachige Version der Werbungsmaterialien. Damit werden Migranten, für die es einfacher ist, Texte auf Englisch zu lesen, aus dem Projekt ausgeschlossen.
Leichte Sprache ist wichtig für Menschen mit Behinderung, Senioren, mehrsprachige Bamberger. Ohne Version in leichter Sprache werden viele Texte nicht zu Ende gelesen bzw. als zu kompliziert eingestuft, und man versucht nicht, sich mit dem Thema weiter auseinanderzusetzen. Große Bevölkerungsgruppen sind dadurch möglicherweise bei der Bürgerbeteiligung und beim Informieren über das Programm benachteiligt - 26% der Bamberger haben Migrationsgeschichte, 15% sind Menschen mit Behinderung, fast 20% Personen sind über 65 Jahren alt.";Übersetzungen und Versionen in leichter Sprache können entweder als PDF-Versionen oder durch eine Übersetzungsapp angeboten werden. 
Engagement;"Werbung für Pflege von Bepflanzungen - ""Hilf Bamberg grün zu bleiben!""";Gartenamt schafft es oft nicht, rechtzeitig die Bepflanzungen in der Stadt zu pflegen. In der Zeit der Klimawandel ist insbesondere häufiges Gießen wichtig. ;"Eine Werbekampagne ""Hilf Bamberg grün zu bleiben!"" kann dafür sorgen, dass Menschen sich bewusst mehr um die Bepflanzungen in der Stadt kümmern. Z.B. einen Baum vor dem eigenen Haus ab und zu gießen, stachelige Pflanzen am Straßenrand abschneiden, eine Pflanze pflanzen und pflegen. Daraus entsteht ein vernetztes Community, wo man melden kann, um welche Pflanzen-Straßen-Viertel man sich kümmert bzw. Patenschaft übernimmt. Die Werbeaktion und Vernetzung von Community kann durch soziale Netzwerke, Apps, Online-Platforms gesteuert werden. "
Ruheplätze;Ruheplätze;In der Innenstadt fehlen Räume und Plätze zum Verweilen, Ruheplätze. Man kann fast nirgendwo einfach sitzen bleiben, eine Pause machen – nur Shops und Cafes, Innerstadt. Man könnte Höfe z.B. benutzen. ;
Ruheplätze;Ruheplätze;Bänke und Mülleimer fehlen in vielen Stadtteilen! Planung kann durch Google Maps nach Nachbarschaften verbessert werden. Eine Bank und ein Mülleimer dazu – das bietet Erholung. Es soll ganz viele einzelne Bänke aufgestellt werden, damit sich keine Gruppen sammeln ;
Digitalisierung;Wlan in der Innenstadt;Wlan in der Innenstadt;
Stadtgestaltung;Maxplatz soll verschönert werden - interaktive Screens mit Nachrichten;Maxplatz soll verschönert werden - interaktive Screens mit Nachrichten;
Verwaltung;;Zu hohe Wohnpreise;
Verwaltung;Warme Küche in Schulen/Kantinen und gesünder;;
Verwaltung;;Kita- und Hortgebühren sind zu hoch! ;Familien mit mehreren Kindern sollen mehr bezuschusst werden!
Verwaltung;;Zu viel Religion, zu wenig Sportunterricht;
Verwaltung;;Mehr Sozialwohnungen Quartiere und Stadtteile müssen gemischt sein – günstig und teuer, reich und arm.;
Stadtgestaltung;Begegnungsplätze und gemeinsame Außenbereiche;;Begegnungsplätze und gemeinsame Außenbereiche sollen organisiert werden – fürs Grillen, sitzen, spielen…
Stadtgestaltung;Schattigere Spielplätze;Wie schattig sind die Spielplätze?! Viele stehen in praller Sonne! Das darf nicht sein, insbesondere für Kleinkinder!; Das kann man doch beobachten, messen und durch Bäume, Wände, Spielgeräte verbessern
Verwaltung;umweltbewusste Aktionen ;;
Verwaltung;mehr Kotbeutelstationen;;
Stadtgestaltung;Mehr Tafelläden;;
Stadtgestaltung;;In den Stadtteilen fehlen kleine Märkte;
Digitalisierung;Digitale Rathaus-Wegweiser am ZOB und Maxplatz;;In der Stadt auf ZOB und Maxplatz soll Rathaus-Wegweiser aufgestellt sein – was wo in welchem Gebäude sich befindet (als Infostand und als interactive Touchscreen mit Suche-Option) 
Barrierefreiheit;Dolmetscher;Im Gesundheitssystem und in der Verwaltung fehlen Dolmetscher! Kinder dürfen nicht für Eltern dolmetschen, jede Ethik verbietet das!;
Verwaltung;Familienfreundlichere Sprechzeiten;Sprechzeiten bei der Stadt usw sind nicht flexibel und nicht familienfreundlich; Eine App zum Sprechzeiten buchen, extra „Sprechstunde mit Kind“ oder „Sprechstunde mit Kundenbetreuung“ 
